first_name,last_name,start_date,exit_date,title,supervisor,ad_email,business_unit,employee_status,employee_type,pay_zone,employee_classification_type,termination_type,termination_description,department_type,division,state,job_function_description,gender_code,location_code,race_desc,marital_desc,performance_score,current_employee_rating,employee_id,survey_date,engagement_score,satisfaction_score,worklife_balance_score,training_date,training_program_name,training_type,training_outcome,location,trainer,training_durationdays,training_cost
Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,3438,,4,2,5,2022-10-05,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17
Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,3439,,1,2,5,2023-03-09,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07
Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,3440,,1,4,5,2023-05-29,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03
Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,3441,,4,2,5,2023-01-08,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2
Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,MA,Laborer,Male,2810,Black,Single,Exceeds,2,3442,,2,5,3,2023-03-06,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87
Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,,2,2,4,2023-02-18,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13
Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,,1,2,4,2022-11-02,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84
Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,,4,5,2,2023-07-14,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64
Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,TX,Driller,Female,16325,White,Divorced,Exceeds,2,3446,,4,3,5,2022-12-11,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13
Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,,5,1,4,2023-04-02,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21
Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,,5,1,5,2023-05-16,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05
Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,CO,Technician,Male,5168,Black,Single,Fully Meets,5,3449,,3,2,1,2022-10-02,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21
Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,CO,Operator,Male,11765,Other,Single,Exceeds,2,3450,,4,3,5,2023-01-12,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07
Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,,5,1,2,2023-03-22,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97
Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,,5,5,2,2022-09-13,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04
Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,,5,5,3,2022-08-25,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44
Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,,4,4,2,2023-02-07,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9
Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,,2,1,1,2023-03-17,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41
Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,,4,3,4,2023-06-08,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82
Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,,5,1,4,2023-04-15,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73
Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,,2,5,5,2022-12-02,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27
Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,,4,4,3,2023-06-14,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32
Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,,4,3,3,2023-07-08,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52
Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,,1,4,4,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43
Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,,3,3,1,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01
Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19
James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,,2,5,3,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47
Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,,5,4,3,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1
Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,,1,3,4,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66
Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7
Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,,3,1,3,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63
Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,,5,5,1,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54
Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,,1,2,3,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96
Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,,2,4,1,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98
Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,,5,5,4,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24
Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,,3,4,4,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99
Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,,3,1,2,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51
Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,,4,3,4,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76
Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5
Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,,1,2,1,2022-11-07,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48
Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,,3,4,1,2022-10-05,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74
Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,,4,4,4,2023-01-18,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45
Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,,1,5,3,2023-03-02,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15
Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,,5,2,4,2023-05-29,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95
Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,,4,5,5,2023-03-03,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11
Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,,1,4,5,2022-08-10,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96
Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,,1,2,4,2023-06-27,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7
Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,,2,1,3,2022-08-07,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45
Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,,3,1,1,2023-07-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59
Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,,5,4,1,2023-07-17,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97
Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,,1,5,1,2022-09-20,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19
Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,,2,4,5,2023-07-02,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41
Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,,5,3,2,2023-07-19,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59
Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,,3,4,5,2023-07-14,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56
Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,,1,5,5,2022-09-06,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66
Hugo,Clay,2019-07-15,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,,3,1,5,2023-02-19,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95
Cohen,Raymond,2020-06-18,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,CO,Technician,Male,90983,Black,Single,Fully Meets,4,3494,,1,2,1,2023-02-11,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45
Tia,Ellis,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,3495,,4,3,5,2022-12-21,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55
Aspen,Bentley,2021-12-02,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5,3496,,1,3,2,2023-02-16,Project Management,Internal,Incomplete,Port Ashleybury,Monica Keller,1,806.87
Graham,Rodriguez,2021-12-08,,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,3497,,2,3,4,2023-03-11,Communication Skills,Internal,Completed,Kelseyborough,Sydney Johnson,2,184.21
Joel,Mcmillan,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2,3498,,3,3,4,2023-05-30,Project Management,External,Failed,Yorkport,Amy Clark,1,208.43
Maci,Frost,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5,3499,,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,East Bradley,Angela Lee,2,762.45
Nevaeh,Lucas,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1,3500,,4,1,4,2023-06-15,Leadership Development,External,Incomplete,Smithchester,Larry Morales,4,779.79
Garrett,Zimmerman,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4,3501,,2,3,4,2023-06-09,Project Management,External,Passed,South Kaylachester,Troy Adams,3,135.95
